epoch,accuracy,loss,val_accuracy,val_loss
0,0.6313869,0.6648197677303694,0.43414634,0.7628535883767265
1,0.6836983,0.6213523513499257,0.80487806,0.5729972038950238
2,0.756691,0.5483393107887602,0.82439023,0.4983679567064558
3,0.7858881,0.487160395749294,0.85365856,0.43492054087775095
4,0.8321168,0.39592972049747943,0.8780488,0.33575900963374544
